SBID,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,RACS_0249+31A,17,02:41:48.722,+33:59:42.04,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.580,8.370,0.300
8537,RACS_0249+31A,18,02:46:52.714,+34:00:25.6,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,27.270,8.000,1.500
8537,RACS_0249+31A,19,02:51:56.695,+34:00:25.6,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.190,8.220,2.500
8537,RACS_0249+31A,20,02:57:00.686,+33:59:42.04,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.300,8.080,3.500
8537,RACS_0249+31A,21,03:02:04.706,+33:58:14.88,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.250,8.160,4.800
8537,RACS_0249+31A,22,03:01:55.55,+32:55:14.2298,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.140,8.170,4.800
8537,RACS_0249+31A,23,03:01:46.865,+31:52:15.3502,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,24.770,7.990,4.500
8537,RACS_0249+31A,24,03:01:38.621,+30:49:16.9702,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,24.050,8.100,4.600
8537,RACS_0249+31A,25,03:01:30.799,+29:46:17.8702,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.130,8.750,5.200
8537,RACS_0249+31A,26,03:01:23.376,+28:43:16.72,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.080,8.820,5.200
8537,RACS_0249+31A,27,02:56:35.878,+28:44:39.12,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.470,8.890,3.600
8537,RACS_0249+31A,28,02:51:48.425,+28:45:20.34,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.460,8.920,2.200
8537,RACS_0249+31A,29,02:47:00.986,+28:45:20.34,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.260,8.900,1.200
8537,RACS_0249+31A,30,02:42:13.534,+28:44:39.12,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.250,8.900,-0.100
8537,RACS_0249+31A,31,02:37:26.033,+28:43:16.72,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,19.250,8.900,-1.400
8537,RACS_0249+31A,32,02:37:18.612,+29:46:17.8702,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.240,8.830,-1.600
8537,RACS_0249+31A,33,02:37:10.79,+30:49:16.9702,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.880,8.730,-1.000
8537,RACS_0249+31A,34,02:37:02.546,+31:52:15.3502,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.420,8.330,-1.100
8537,RACS_0249+31A,35,02:36:53.861,+32:55:14.2298,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.360,8.260,-1.000
8537,RACS_0303+37A,0,03:01:09.557,+38:09:17.3498,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,28.130,7.910,8.200
8537,RACS_0303+37A,1,03:06:30.017,+38:09:17.3498,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.830,7.830,9.500
8537,RACS_0303+37A,2,03:01:11.806,+37:06:17.6,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.560,8.020,8.200
8537,RACS_0303+37A,3,03:06:27.768,+37:06:17.6,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.630,7.980,9.400
8537,RACS_0303+37A,4,02:55:42.007,+39:11:23.14,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.480,7.880,7.000
8537,RACS_0303+37A,5,03:01:07.188,+39:12:17.7502,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,33.570,7.590,7.800
8537,RACS_0303+37A,6,03:06:32.386,+39:12:17.7502,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.720,7.800,9.200
8537,RACS_0303+37A,7,03:11:57.569,+39:11:23.14,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.890,7.810,10.700
8537,RACS_0303+37A,8,03:11:50.465,+38:08:23.5702,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.930,7.620,10.100
8537,RACS_0303+37A,9,03:11:43.723,+37:05:24.58,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.320,7.900,10.600
8537,RACS_0303+37A,10,03:11:37.322,+36:02:24.9,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.630,8.060,10.000
8537,RACS_0303+37A,11,03:06:25.634,+36:03:17.24,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.550,8.120,9.000
8537,RACS_0303+37A,12,03:01:13.939,+36:03:17.24,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.310,8.140,8.100
8537,RACS_0303+37A,13,02:56:02.251,+36:02:24.9,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.270,8.170,6.700
8537,RACS_0303+37A,14,02:55:55.85,+37:05:24.58,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.520,8.090,6.900
8537,RACS_0303+37A,15,02:55:49.109,+38:08:23.5702,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,28.070,7.960,7.000
8537,RACS_0303+37A,16,02:50:04.397,+40:12:33.5498,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,30.830,7.800,5.400
8537,RACS_0303+37A,17,02:55:34.517,+40:14:24.54,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.030,7.820,6.900
8537,RACS_0303+37A,18,03:01:04.692,+40:15:20.02,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,34.240,7.590,7.900
8537,RACS_0303+37A,19,03:06:34.882,+40:15:20.02,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,30.790,7.590,9.500
8537,RACS_0303+37A,20,03:12:05.057,+40:14:24.54,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.080,7.470,10.700
8537,RACS_0303+37A,21,03:17:35.177,+40:12:33.5498,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.290,7.620,11.900
8537,RACS_0303+37A,22,03:17:22.706,+39:09:33.9098,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.510,7.610,11.900
8537,RACS_0303+37A,23,03:17:10.879,+38:06:35.96,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.870,7.430,11.300
8537,RACS_0303+37A,24,03:16:59.652,+37:03:38.48,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,30.760,7.590,11.200
8537,RACS_0303+37A,25,03:16:48.994,+36:00:40.2098,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.450,7.940,11.800
8537,RACS_0303+37A,26,03:16:38.868,+34:57:39.82,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,24.880,7.970,11.800
8537,RACS_0303+37A,27,03:11:31.243,+34:59:23.24,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,25.370,8.110,10.200
8537,RACS_0303+37A,28,03:06:23.606,+35:00:14.94,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,25.330,8.150,9.000
8537,RACS_0303+37A,29,03:01:15.967,+35:00:14.94,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,25.040,8.140,8.100
8537,RACS_0303+37A,30,02:56:08.33,+34:59:23.24,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,24.890,8.130,6.900
8537,RACS_0303+37A,31,02:51:00.706,+34:57:39.82,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,24.760,8.150,5.800
8537,RACS_0303+37A,32,02:50:50.58,+36:00:40.2098,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.230,8.130,5.500
8537,RACS_0303+37A,33,02:50:39.922,+37:03:38.48,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.350,8.030,5.700
8537,RACS_0303+37A,34,02:50:28.694,+38:06:35.96,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.830,7.860,5.700
8537,RACS_0303+37A,35,02:50:16.867,+39:09:33.9098,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.230,7.800,5.700
8538,RACS_0317+31A,0,03:15:10.404,+31:54:22.86,2019-04-21 07:16:07.536,2019-04-21 07:31:13.267,25.820,8.500,-26.400
8538,RACS_0317+31A,1,03:20:07.243,+31:54:22.86,2019-04-21 07:16:07.536,2019-04-21 07:31:13.267,24.960,8.460,-25.300
8538,RACS_0317+31A,2,03:15:12.053,+30:51:23.08,2019-04-21 07:16:07.536,2019-04-21 07:31:13.267,24.960,8.510,-27.000
