SBID,OBS_FREQ,FIELD_NME,BEM,R_HMS,DEC_DMS,DTEOBS,DTEEND,NINT,BMJ,BMIN,BP
45538,887.5,VAST_1806-25,23,18:18:20.563,-24:34:36.160,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.798842366222171,11.5656371768619,3.13932577501594
45538,887.5,VAST_1806-25,24,18:18:26.542,-25:37:35.150,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.809894100423444,11.551593284818416,2.45874393979477
45538,887.5,VAST_1806-25,25,18:18:32.863,-26:40:34.640,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.825418486251635,11.546135441741628,1.97545826180073
45538,887.5,VAST_1806-25,26,18:18:39.547,-27:43:36.010,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.843116719606655,11.53504231274214,1.42901748634879
45538,887.5,VAST_1806-25,27,18:13:54.698,-27:44:42.580,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.83937192238482,11.492454757092805,2.77502985428348
45538,887.5,VAST_1806-25,28,18:09:09.922,-27:45:15.880,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.84986628868752,11.470393777002084,4.09838229073646
45538,887.5,VAST_1806-25,29,18:04:25.171,-27:45:15.880,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.836685717950113,11.438311158689183,5.52092542177471
45538,887.5,VAST_1806-25,30,17:59:40.397,-27:44:42.580,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.82954154779728,11.398770148082148,6.45525252644902
45538,887.5,VAST_1806-25,31,17:54:55.548,-27:43:36.010,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.823907470494587,11.3758588111779,8.22703430245598
45538,887.5,VAST_1806-25,32,17:55:02.230,-26:40:34.640,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.81983458987386,11.39525982946368,8.54228998224604
45538,887.5,VAST_1806-25,33,17:55:08.554,-25:37:35.150,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.807066095284751,11.408027695410563,8.87757937645329
45538,887.5,VAST_1806-25,34,17:55:14.532,-24:34:36.160,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.768025939514748,11.397291548123052,9.17996277378697
45538,887.5,VAST_1806-25,35,17:55:20.182,-23:31:36.480,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.763914374968776,11.412988321714453,9.56659552724164
45539,887.5,VAST_1819-18,0,18:17:25.447,-18:20:12.550,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.780852780100068,11.53389893274504,9.84749701479971
45539,887.5,VAST_1819-18,1,18:21:50.916,-18:20:12.550,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.768897199886965,11.550710913615612,8.97863069466255
45539,887.5,VAST_1819-18,2,18:17:24.612,-19:23:12.370,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.76098601961556,11.513075610551256,9.30142729782612
45539,887.5,VAST_1819-18,3,18:21:51.749,-19:23:12.370,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.750153667259111,11.524947861450167,8.51418886884534
45539,887.5,VAST_1819-18,4,18:13:02.280,-17:16:48.650,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.79747386760176,11.531082245225832,11.3153213160429
45539,887.5,VAST_1819-18,5,18:17:26.225,-17:17:12.080,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.798708497411363,11.555403947837172,10.3751663109943
45539,887.5,VAST_1819-18,6,18:21:50.136,-17:17:12.080,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.79709298988596,11.575390560869089,9.40164021436891
45539,887.5,VAST_1819-18,7,18:26:14.081,-17:16:48.650,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.7825046768061,11.598880215354084,8.64818170706478
45539,887.5,VAST_1819-18,8,18:26:16.418,-18:19:48.970,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.764146025355336,11.574621746710092,8.2560610212642
45539,887.5,VAST_1819-18,9,18:26:18.919,-19:22:48.650,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.753556007459364,11.5604527613301,7.48392106973033
45539,887.5,VAST_1819-18,10,18:26:21.590,-20:25:48.940,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.747433793451732,11.5423040074275,7.0089373095045
45539,887.5,VAST_1819-18,11,18:21:52.639,-20:26:12.840,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.746858849378569,11.5114253354298,7.98717592892433
45539,887.5,VAST_1819-18,12,18:17:23.724,-20:26:12.840,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.742815084305796,11.486264263285932,8.83624671345381
45539,887.5,VAST_1819-18,13,18:12:54.773,-20:25:48.940,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.749811260137596,11.472665974696044,9.97622993836876
45539,887.5,VAST_1819-18,14,18:12:57.442,-19:22:48.650,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.75843079023858,11.489372829760285,10.4179085038739
45539,887.5,VAST_1819-18,15,18:12:59.942,-18:19:48.970,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.803350721513183,11.536323971532912,10.8618265874465
45539,887.5,VAST_1819-18,16,18:08:41.863,-16:12:59.650,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.80637385920882,11.525973509290212,12.5926298919099
45539,887.5,VAST_1819-18,17,18:13:04.462,-16:13:46.380,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.815488105170372,11.55195600491358,11.6921860498642
45539,887.5,VAST_1819-18,18,18:17:26.952,-16:14:09.740,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.83531340859236,11.584666410998867,10.8438810414357
45539,887.5,VAST_1819-18,19,18:21:49.409,-16:14:09.740,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.835151628626017,11.6099150523003,10.0093550176768
45539,887.5,VAST_1819-18,20,18:26:11.902,-16:13:46.380,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.81641081120244,11.627511361883675,9.18813902649447
45539,887.5,VAST_1819-18,21,18:30:34.498,-16:12:59.650,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.83902958574954,11.687307806127995,8.26411290595889
45539,887.5,VAST_1819-18,22,18:30:38.131,-17:16:01.670,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.822547538708676,11.662137394358473,7.90734465772554
45539,887.5,VAST_1819-18,23,18:30:42.026,-18:19:01.740,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.818433596539537,11.656697895696023,7.26887104636176
45539,887.5,VAST_1819-18,24,18:30:46.193,-19:22:01.130,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.803084976265882,11.634851883690072,6.48709650932587
45539,887.5,VAST_1819-18,25,18:30:50.642,-20:25:01.090,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.797496499834836,11.626672930453656,5.98283185143414
45539,887.5,VAST_1819-18,26,18:30:55.380,-21:28:02.890,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.795815511863964,11.611546576708283,5.28419555045437
45539,887.5,VAST_1819-18,27,18:26:24.432,-21:28:51.100,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.786781223585592,11.568839097282156,6.27406657243973
45539,887.5,VAST_1819-18,28,18:21:53.587,-21:29:15.180,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.786791228704368,11.539479041027173,7.42143137056431
45539,887.5,VAST_1819-18,29,18:17:22.776,-21:29:15.180,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.777648861155724,11.501411030547697,8.64265912923986
45539,887.5,VAST_1819-18,30,18:12:51.929,-21:28:51.100,2022-11-14 06:29:16.736,2022-11-14 06:41:23.325,73,12.750219322496424,11.460589015235293,9.54293644553385
